Proposta;Código;Categoria;Tipo de empreendimento;Extensão (km);Tipo bitola;Total de estações;Estações atendidas;Tempo de viagem ida (min);Tempo de viagem ida & volta (min);Viagens (mês);Dias de operação (mês);Demanda (mês);Produção quilométrica (km/mês);Tarifa do serviço;Receita anual (R$);Pass.ano/km;Receita.ano/km;Total de composições;Total de carros de passageiros/trem;Tipo carros;Quantidade/composição;Especificação;v;Produção quilométrica (km/ano);Frota Total (operacional + reserva);Capacidade (PAX/viagem);Demanda (ano);Receita DU;Receita mês;Receita ano;Número de viagens (mês)
Araguari/ Campos Altos;RP 12-33;Proposta Regional;['Greenfield', 'Brownfield'];503;Métrica;8;['Araguari', 'Uberlândia', 'Uberaba', 'Nova Ponte', 'Santa Juliana', 'Araxá', 'Ibiá', 'Campos Altos'];551;1102;27;326;470930;164307;Classe Econômica: 6,98, Classe Executiva: 18,72;15155658;2.87;92.24;1.0;4;['Locomotiva', 'Carro de passageiros', 'Carros auxiliares'];[1, 4, 2];['Diesel', 'Carro de passageiros', 'Carros auxiliares'];;;;;;;;;
;;;;;Métrica e Mista;19;['19'];;;;;640340;;6,98;;;;;;;;;665;216788;;;;;;;
Belo Horizonte/Janaúba;RP 14-26b;Proposta Regional Versão: 01;['Greenfield', 'Brownfield (via compartilhada com operação da carga)'];665;['Métrica (570,92)', 'Mista (94,23)'];14;['Belo Horizonte', 'Joaquim Felício', 'Engenheiro Navarro', 'Araçaí', 'Bocaiúva', 'Cordisburgo', 'Montes Claros', 'Curvelo', 'Corinto', 'Janaúba', 'Augusto de Lima', 'Buenópolis'];745;1490;27;326;280260;;['Classe Econômica 6,98', 'Classe Executiva 18,72'];13932631;1.29;64.27;;4;['Locomotiva 1 Diesel', 'Carro de passageiros 4', 'Carros auxiliares 2'];[1, 4, 2];['163 (m)', 'Carro de passageiros 4', 'Carros auxiliares 2'];;216783;1;285;;;;;
Belo Horizonte / Lafaiete/ Mariana;RP 15;Proposta Regional Versão: 00;['Greenfield', 'Brownfield'];238;;9;['Belo Horizonte', 'Mariana', 'Sabará', 'Raposos', 'Nova Lima', 'Rio Acima', 'Conselheiro Lafaiete', 'Ouro Preto'];270;540;27;326;184970;77619;['6,98', '18,72'];4041627;2,38;52,07;;4;['Locomotiva 1 Diesel', 'Carro de passageiros 4', 'Carros auxiliares'];['1', '4', '1'];['Locomotiva 1 Diesel', 'Carro de passageiros 4', 'Carro de passageiros 4'];;;1;;;;;;
Belo Horizonte / Ouro Preto;RP 15b;Proposta Regional Versão: 00;['Greenfield', 'Brownfield'];147;-;7;['Belo Horizonte', 'Sabará', 'Raposos', 'Nova Lima', 'Rio Acima', 'Itabirito', 'Ouro Preto'];172;344;27;326;139.54;48.247;['6,98', '18,72'];3158219;289;6546;;4;['Locomotiva', 'Carro de passageiros'];[1, 4];['Diesel', 'especificação'];;;1;285;;;;;
João Monlevade / Governador Valadares;RP 17;Proposta RePgrioopnoaslta Regional Versão: 00;['Greenfield', 'Brownfield (via compartilhada com operação da carga)', 'Características físicas'];201;Métrica;9;['João Monlevade', 'Governador Valadares', 'Nova Era', 'Antônio Dias', 'Timóteo', 'Ipatinga', 'Ipaba', 'Belo Oriente', 'Periquito'];353;706;5;52;3680;10474;6.98;78806;0.35;7.52;;;;[1, 3, 2];['Diesel', 'Carro de passageiros', 'Carros auxiliares'];;;1;142;;;;;
Divinópolis / Cordisburgo;RP 22;Proposta Regional Versão: 00;['Greenfield', 'Brownfield (via compartilhada com operação da carga)'];306;Métrica (183,73) Mista (122,65);18;['Divinópolis', 'Sabará', 'Araçaí', 'Carmo do Cajuru', 'Santa Luzia', 'Cordisburgo', 'Itaúna', 'Vespasiano', 'Mateus Leme', 'Pedro Leopoldo', 'Juatuba', 'Matozinhos', 'Betim', 'Capim Branco', 'Contagem', 'Prudente de Morais', 'Belo Horizonte', 'Sete Lagoas'];356;712;27;326;446520;100078;Classe Econômica 6,98 Tarifa fixa (R$) 0,1447 Tarifa quilométrica (R$) 0,2685 Tarifa quilométrica (R$);10139977;446;10132;;7;;[1, 7, 1];['Carro de passageiros 7', 'Carros auxiliares 1'];;;1;;;;;;
Divinópolis / Lavras;RP 23;Proposta Regional Versão: 00;['Greenfield', 'Brownfield'];183.00;Métrica;9;['Divinópolis', 'Lavras', 'São Sebastião do Oeste', 'Cláudio', 'Carmo da Mata', 'Oliveira', 'Santo Antônio do Amparo', 'Bom Sucesso', 'Ijaci'];205;410;27;326;245.045;59.984;['6,98', '18,72'];4.681.157;4,09;78,04;;163;['Locomotiva', 'Carro de passageiros', 'Carros auxiliares'];[1, 1, 1];['Diesel', 'Carro de passageiros', 'Carros auxiliares'];;;1;285;;;;;
Divinópolis / Oliveira;RP 23b;Proposta Regional Versão: 01;['Greenfield', 'Brownfield (trecho sob concessão, porém sem operação de carga)'];78;Métrica;5;['Divinópolis', 'São Sebastião do Oeste', 'Cláudio', 'Carmo da Mata', 'Oliveira'];90;180;27;326;209215;25524;['Classe Econômica', 'Classe Executiva'];3815521;8.2;14949;;5;['Locomotiva 1 Diesel', 'Carro de passageiros 5', 'Carros auxiliares 1'];[1, 5, 1];['163 m'];;;1;;;;;;
Poços de Caldas / Campinas (SP);RP 27;Proposta Regional Versão: 00;['Greenfield', 'Brownfield (via compartilhada com operação da carga)'];193;['Métrica (173,86)', 'Larga (7,92)', 'Mista (11,03)'];11;['Poços de Caldas', 'Jaguariúna', 'Águas da Prata', 'Paulínia', 'São João da Boa Vista', 'Campinas', 'Aguaí', 'Estiva Gerbi', 'Mogi Guaçu', 'Mogi Mirim', 'Santo Antônio de Posse'];224;448;27;326;558045;62918;['Classe Econômica', 'Classe Executiva'];11201232;8.87;178.03;;1;['Locomotiva', 'Carro de passageiros', 'Carros auxiliares'];[1, 8, 2];['Diesel', 'Capacidade (PAX/viagem): 569'];;;1;;;;;;
;;;1;384.0;;17;['Mariana', 'São Geraldo', 'Além Paraíba', 'Acaiaca', 'Visconde do Rio Branco', 'Barra Longa', 'Ubá', 'Ponte Nova', 'Astolfo Dutra', 'Teixeiras', 'Dona Eusébia', 'Viçosa', 'Leopoldina', 'Cajuri', 'Recreio', 'Coimbra', 'Volta Grande'];;;;;;;6.98;2459475;1.27;19.6;;[1, 2, 2];;;;;125483;5;;159720.0;;;;
Nova Lima-Ibirité-Betim;Linha A;Metropolitana;['Greenfield', 'Brownfield'];52;Diesel;20;['Carro de Passageiros', 'Locomotiva'];144;288;112;112;58240;9.17;8.45;92484188.0;6.35;34.31;;4;['Locomotiva', 'Carro de Passageiros'];[14, 4];['Diesel', 'Carro de Passageiros'];;;64;;;;;;
Nova Lima-Ibirité-Eldorado;A1;Metropolitana;['Greenfield'];28;;14;;77;77;56;;30690;2.445;R$8,45;;12.56;70.81;;4;['Locomotiva', 'Carro de passageiros'];[4, 4, 1];['Diesel', 'Carro de passageiros'];;;20;720;;R$173.092,33;R$4.240.762,00;R$50.889.144,00;
Barreiro-Betim;Linha A2;Metropolitana;['Greenfield', 'Brownfield'];30;Diesel;11;['Locomotiva', 'Carro de passageiros'];84;168;91;30;36110;4320;845;49590901;836;3903;;4;['Locomotiva', 'Carro de passageiros', 'Carros auxiliares'];[7, 4, 1];['Diesel', 'Carro de passageiros', 'Carros auxiliares'];;;32;;;;;;
Nova Lima-Eldorado-Betim;A3;Metropolitana Versão: 03;['Greenfield', 'Brownfield'];52;11 Diesel;20;['Carro de passageiros 4', 'Carros auxiliares 2'];144;67;;;58240;7040;845;;828;4470;;4;['Locomotiva', 'Carro de passageiros', 'Carros auxiliares'];[11, 4, 2];['11 Diesel', '4', '2'];;;52;;;314572.07;7707015.67;92484188;88.0
Nova Lima-Sabará-Belo Horizonte;Linha B;Metropolitana;['Greenfield', 'Brownfield'];36;;9;['estação1', 'estação2', 'estação3'];80;160;39;30;7760;2235;R$8,45;15609691;3.47;23.76;;2;['Locomotiva', 'Carro de passageiros'];[3, 2, 1];['Diesel', 'Carro de passageiros'];;;8;360;;;;;
Pedro Leopoldo-Sta Luzia-Belo Horizonte;Linha C;Metropolitana Versão: 00;['Greenfield', 'Brownfield'];49;;9;[];111;111;80;80;14495;6245;845;;232;1613;;2;['Locomotiva', 'Carro de passageiros'];[8, 2];['8 Diesel', 'Carro de passageiros'];;;18;360;;100705.72;2467290.08;29607481.0;
São Gabriel-Sta Luzia;Linha C1;Metropolitano;['Greenfield', 'Brownfield'];17;1.450 (km/dia);6;['Carro de passageiros', 'Locomotiva'];38;76;54;54;9570;1450;845;19548244;6.59;45.82;;2;['Locomotiva', 'Carro de passageiros'];[2, 2, 1];['Diesel', '2'];;;6;;;;;;
